time_s,occupancy_pkts,occupancy_bytes
0.000,0,0
0.050,0,0
0.100,0,0
0.150,0,0
0.200,0,0
0.250,0,0
0.300,0,0
0.350,0,0
0.400,0,0
0.450,0,0
0.500,0,0
0.550,0,0
0.600,0,0
0.650,1,1504
0.700,0,0
0.750,7,10528
0.800,0,0
0.850,18,27072
0.900,5,7520
0.950,29,42192
1.000,37,55648
1.050,38,57152
1.100,38,57152
1.150,38,57152
1.200,39,58656
1.250,40,60160
1.300,41,61664
1.350,42,63168
1.400,43,64672
1.450,44,66176
1.500,45,67680
1.550,47,70688
1.600,49,73696
1.650,49,73696
1.700,50,75200
1.750,52,78208
1.800,51,76704
1.850,52,78208
1.900,54,81216
1.950,54,81216
2.000,57,85728
2.050,57,85728
2.100,56,84224
2.150,60,90240
2.200,60,90240
2.250,62,93248
2.300,61,91744
2.350,64,96256
2.400,65,97760
2.450,65,97760
2.500,67,100768
2.550,67,100768
2.600,68,102272
2.650,68,102272
2.700,67,100768
2.750,61,91744
2.800,55,82720
2.850,49,73696
2.900,43,64672
2.950,43,64672
3.000,44,66176
3.050,44,66176
3.100,44,66176
3.150,45,67680
3.200,46,69184
3.250,47,70688
3.300,48,72192
3.350,48,72192
3.400,50,75200
3.450,51,76704
3.500,52,78208
3.550,53,79712
3.600,52,78208
3.650,54,81216
3.700,55,82720
3.750,56,84224
3.800,57,85728
3.850,55,82720
3.900,58,87232
3.950,59,88736
4.000,60,90240
4.050,59,88736
4.100,59,88736
4.150,60,90240
4.200,60,90240
4.250,61,91744
4.300,64,96256
4.350,63,94752
4.400,66,97812
4.450,66,97812
4.500,65,96308
4.550,65,97760
4.600,66,99264
4.650,67,100768
4.700,66,99264
4.750,66,99264
4.800,67,100768
4.850,68,102272
4.900,69,103776
4.950,69,103776
5.000,70,105280
5.050,69,103776
5.100,71,106784
5.150,69,103776
5.200,71,106784
5.250,71,106784
5.300,72,108288
5.350,73,109792
5.400,66,99264
5.450,60,90240
5.500,54,81216
5.550,48,72192
5.600,44,66176
5.650,44,66176
5.700,43,64672
5.750,42,63168
5.800,44,66176
5.850,46,69184
5.900,45,67680
5.950,45,67680
6.000,44,66176
6.050,47,70688
6.100,47,70688
6.150,47,70688
6.200,49,73696
6.250,49,73696
6.300,50,75200
6.350,51,76704
6.400,52,78208
6.450,50,75200
6.500,51,76704
6.550,52,78208
6.600,52,78208
6.650,52,78208
6.700,54,81216
6.750,53,79712
6.800,53,79712
6.850,54,81216
6.900,54,81216
6.950,53,79712
7.000,55,82720
7.050,55,82720
7.100,56,84224
7.150,54,81216
7.200,55,82720
7.250,55,82720
7.300,55,82720
7.350,55,82720
7.400,58,87232
7.450,58,87232
7.500,57,85728
7.550,57,85728
7.600,57,85728
7.650,57,85728
7.700,58,87232
7.750,59,88736
7.800,57,85728
7.850,58,87232
7.900,57,85728
7.950,58,87232
8.000,58,87232
8.050,57,85728
8.100,57,85728
8.150,56,84224
8.200,57,85728
8.250,58,87232
8.300,58,87232
8.350,57,85728
8.400,58,87232
8.450,58,87232
8.500,58,87232
8.550,58,87232
8.600,57,85728
8.650,57,85728
8.700,58,87232
8.750,56,84224
8.800,58,87232
8.850,58,87232
8.900,57,85728
8.950,57,85728
9.000,58,87232
9.050,58,87232
9.100,58,87232
9.150,57,85728
9.200,57,85728
9.250,57,85728
9.300,58,87232
9.350,57,85728
9.400,58,87232
9.450,57,85728
9.500,57,85728
9.550,58,87232
9.600,58,87232
9.650,57,85728
9.700,58,87232
9.750,57,85728
9.800,58,87232
9.850,58,87232
9.900,57,85728
9.950,57,85728
10.000,57,85728
10.050,57,85728
10.100,58,87232
10.150,56,84224
10.200,57,85728
10.250,57,85728
10.300,57,85728
10.350,59,88736
10.400,60,90240
10.450,58,87232
10.500,59,88736
10.550,58,87232
10.600,59,88736
10.650,60,90240
10.700,60,90240
10.750,59,88736
10.800,60,90240
10.850,59,88736
10.900,60,90240
10.950,61,91744
11.000,61,91744
11.050,60,90240
11.100,62,93248
11.150,61,91744
11.200,61,91744
11.250,62,93248
11.300,63,94752
11.350,61,91744
11.400,62,93248
11.450,64,96256
11.500,64,96256
11.550,64,96256
11.600,63,94752
11.650,64,96256
11.700,63,94752
11.750,64,96256
11.800,66,99264
11.850,66,99264
11.900,67,100768
11.950,67,100768
12.000,68,102272
12.050,68,102272
12.100,69,103776
12.150,68,102272
12.200,69,103776
12.250,68,102272
12.300,71,106784
12.350,70,105280
12.400,72,108288
12.450,71,106784
12.500,73,109792
12.550,74,111296
12.600,73,109792
12.650,74,111296
12.700,74,111296
12.750,77,115808
12.800,71,106784
12.850,65,96308
12.900,59,87284
12.950,53,78260
13.000,49,73696
13.050,48,72192
13.100,49,73696
13.150,47,70688
13.200,49,73696
13.250,50,75200
13.300,51,76704
13.350,52,78208
13.400,54,81216
13.450,53,79712
13.500,53,79712
13.550,54,81216
13.600,56,84224
13.650,58,87232
13.700,58,87232
13.750,59,88736
13.800,59,88736
13.850,58,87232
13.900,61,91744
13.950,62,93248
14.000,61,91744
14.050,63,94752
14.100,64,96256
14.150,65,97760
14.200,66,99264
14.250,67,100768
14.300,66,99264
14.350,67,100768
14.400,66,99264
14.450,70,105280
14.500,69,103776
14.550,70,105280
14.600,69,103776
14.650,69,103776
14.700,71,106784
14.750,72,108288
14.800,72,108288
14.850,71,106784
14.900,72,108288
14.950,73,109792
15.000,72,108288
15.050,73,109792
15.100,75,112800
15.150,76,114304
15.200,75,112800
15.250,74,111296
15.300,76,114304
15.350,77,115808
15.400,78,117312
15.450,77,115808
15.500,75,112800
15.550,78,117312
15.600,77,115808
15.650,78,117312
15.700,73,109792
15.750,67,100768
15.800,60,90240
15.850,53,79712
15.900,50,75200
15.950,49,73696
16.000,50,75200
16.050,50,75200
16.100,50,75200
16.150,49,73696
16.200,50,75200
16.250,51,76704
16.300,51,76704
16.350,52,78208
16.400,53,79712
16.450,52,78208
16.500,53,79712
16.550,54,81216
16.600,56,84224
16.650,54,81216
16.700,57,85728
16.750,55,82720
16.800,56,84224
16.850,57,85728
16.900,58,87232
16.950,58,87232
17.000,57,85728
17.050,59,88736
17.100,58,87232
17.150,58,87232
17.200,60,90240
17.250,59,88736
17.300,59,88736
17.350,60,90240
17.400,62,93248
17.450,61,91744
17.500,62,93248
17.550,61,91744
17.600,61,91744
17.650,62,93248
17.700,60,90240
17.750,61,91744
17.800,64,96256
17.850,63,94752
17.900,64,96256
17.950,64,96256
18.000,63,94752
18.050,63,94752
18.100,63,94752
18.150,63,94752
18.200,64,96256
18.250,64,96256
18.300,63,94752
18.350,63,94752
18.400,63,94752
18.450,63,94752
18.500,64,96256
18.550,65,97760
18.600,63,94752
18.650,64,96256
18.700,63,94752
18.750,64,96256
18.800,64,96256
18.850,63,94752
18.900,63,94752
18.950,64,96256
19.000,63,94752
19.050,64,96256
19.100,64,96256
19.150,63,94752
19.200,64,96256
19.250,64,96256
19.300,64,96256
19.350,64,96256
19.400,63,94752
19.450,63,94752
19.500,64,96256
19.550,64,96256
19.600,64,96256
19.650,64,96256
19.700,63,94752
19.750,63,94752
19.800,62,93248
19.850,63,94752
19.900,64,96256
19.950,63,94752
