time_s,backlog_pkts,backlog_bytes
0.0000,0,0
0.0080,0,0
0.0131,0,0
0.0179,0,0
0.0232,0,0
0.0283,0,0
0.0345,0,0
0.0394,0,0
0.0445,0,0
0.0493,0,0
0.0542,0,0
0.0587,0,0
0.0629,0,0
0.0681,0,0
0.0735,0,0
0.0782,0,0
0.0832,0,0
0.0895,0,0
0.0948,0,0
0.1033,0,0
0.1080,0,0
0.1129,0,0
0.1175,0,0
0.1234,0,0
0.1293,0,0
0.1367,0,0
0.1443,0,0
0.1524,0,0
0.1580,0,0
0.1668,0,0
0.1757,0,0
0.1896,0,0
0.2045,0,0
0.2097,0,0
0.2138,0,0
0.2190,0,0
0.2236,0,0
0.2286,0,0
0.2335,0,0
0.2400,0,0
0.2452,0,0
0.2504,0,0
0.2552,0,0
0.2600,0,0
0.2649,0,0
0.2695,0,0
0.2741,0,0
0.2793,0,0
0.2842,0,0
0.2888,0,0
0.2933,0,0
0.2977,0,0
0.3025,0,0
0.3067,0,0
0.3118,0,0
0.3160,0,0
0.3203,0,0
0.3252,0,0
0.3304,0,0
0.3354,0,0
0.3401,0,0
0.3455,0,0
0.3503,0,0
0.3552,0,0
0.3599,0,0
0.3652,0,0
0.3716,0,0
0.3765,0,0
0.3811,0,0
0.3867,0,0
0.3911,0,0
0.3954,0,0
0.4000,0,0
0.4056,0,0
0.4096,0,0
0.4137,0,0
0.4178,0,0
0.4219,0,0
0.4259,0,0
0.4299,0,0
0.4339,0,0
0.4379,0,0
0.4418,0,0
0.4458,0,0
0.4497,0,0
0.4536,0,0
0.4579,0,0
0.4618,3,7570
0.4679,2,4542
0.4752,1,1514
0.4800,0,0
0.4843,0,0
0.4903,0,0
0.4959,0,0
0.4999,0,0
0.5039,0,0
0.5081,0,0
0.5120,0,0
0.5160,0,0
0.5204,0,0
0.5244,0,0
0.5315,0,0
0.5366,0,0
0.5415,0,0
0.5460,2,6056
0.5508,3,9084
0.5552,4,12112
0.5598,4,12112
0.5654,5,15140
0.5700,3,9084
0.5768,2,6056
0.5814,1,3028
0.5860,0,0
0.5910,0,0
0.5977,0,0
0.6029,0,0
0.6074,0,0
0.6120,0,0
0.6166,0,0
0.6211,0,0
0.6256,0,0
0.6300,1,3028
0.6346,2,6056
0.6392,3,9084
0.6441,4,12112
0.6487,5,15140
0.6552,6,18168
0.6604,8,24224
0.6650,8,24224
0.6696,9,27252
0.6741,10,30280
0.6789,9,27252
0.6834,8,24224
0.6884,7,21196
0.6930,6,18168
0.6975,5,15140
0.7042,3,9084
0.7088,2,6056
0.7133,2,6056
0.7179,5,15140
0.7221,6,18168
0.7275,7,21196
0.7315,8,24224
0.7355,7,21196
0.7395,10,30280
0.7474,10,30280
0.7553,13,39364
0.7603,14,42392
0.7674,14,42392
0.7722,15,43906
0.7769,16,46934
0.7821,17,49962
0.7883,20,59046
0.7942,21,62074
0.7991,23,66616
0.8036,22,63588
0.8079,23,66616
0.8126,0,0
0.8169,25,72672
0.8210,26,75700
0.8252,27,78728
0.8303,28,80242
0.8351,29,83270
0.8405,30,86298
0.8459,31,90840
0.8510,32,93868
0.8557,34,98410
0.8610,35,101438
0.8676,37,107494
0.8729,38,110522
0.8788,39,113550
0.8837,40,115064
0.8888,41,118092
0.8940,42,121120
0.9004,44,128690
0.9070,45,131718
0.9125,46,133232
0.9176,47,136260
0.9226,48,139288
0.9278,49,142316
0.9329,51,148372
0.9380,52,149886
0.9431,53,152914
0.9480,54,155942
0.9532,55,158970
0.9594,55,160484
0.9648,56,163512
0.9697,57,166540
0.9749,58,169568
0.9799,59,172596
0.9867,60,175624
0.9920,60,175624
0.9989,60,174110
1.0040,60,174110
1.0086,60,174110
1.0152,59,172596
1.0204,59,172596
1.0253,59,172596
1.0305,60,175624
1.0365,61,178652
1.0416,0,0
1.0473,0,0
1.0545,0,0
1.0614,0,0
1.0673,61,178652
1.0726,61,178652
1.0780,61,178652
1.0831,61,178652
1.0880,61,178652
1.0927,61,178652
1.0973,61,178652
1.1021,61,178652
1.1069,61,178652
1.1123,61,178652
1.1170,61,178652
1.1216,61,178652
1.1263,0,0
1.1310,0,0
1.1369,0,0
1.1416,0,0
1.1467,0,0
1.1518,0,0
1.1565,61,180166
1.1613,61,180166
1.1665,61,180166
1.1710,61,180166
1.1752,61,180166
1.1798,61,181680
1.1839,60,178652
1.1880,61,180166
1.1922,61,180166
1.1965,61,180166
1.2006,62,183194
1.2045,62,183194
1.2086,61,180166
1.2136,61,180166
1.2177,61,180166
1.2219,62,183194
1.2264,62,183194
1.2308,62,183194
1.2350,62,183194
1.2392,62,183194
1.2433,62,183194
1.2476,62,183194
1.2519,62,183194
1.2565,62,183194
1.2630,62,183194
1.2676,63,184708
1.2722,63,184708
1.2768,63,184708
1.2822,62,183194
1.2865,62,183194
1.2909,62,183194
1.2964,62,183194
1.3026,62,183194
1.3093,62,183194
1.3168,63,186222
1.3234,63,186222
1.3288,62,184708
1.3337,62,184708
1.3389,63,187736
1.3444,63,187736
1.3496,63,187736
1.3559,62,184708
1.3633,63,186222
1.3690,63,186222
1.3759,63,186222
1.3809,63,186222
1.3866,63,186222
1.3914,63,186222
1.3967,63,186222
1.4020,63,186222
1.4070,63,186222
1.4124,64,189250
1.4171,64,189250
1.4216,64,189250
1.4263,64,189250
1.4319,64,189250
1.4365,64,189250
1.4412,64,189250
1.4460,64,189250
1.4518,64,189250
1.4565,64,189250
1.4611,64,189250
1.4660,64,189250
1.4717,63,186222
1.4781,63,187736
1.4846,63,187736
1.4892,63,187736
1.4945,63,187736
1.4991,63,186222
1.5038,63,186222
1.5106,64,189250
1.5155,64,189250
1.5233,64,189250
1.5312,64,189250
1.5394,64,189250
1.5447,64,189250
1.5497,64,189250
1.5546,64,189250
1.5597,63,187736
1.5645,64,190764
1.5703,64,190764
1.5752,64,190764
1.5802,64,190764
1.5851,64,190764
1.5907,64,190764
1.5958,64,190764
1.6008,64,190764
1.6056,64,189250
1.6111,64,189250
1.6160,63,186222
1.6221,64,189250
1.6273,64,189250
1.6322,64,189250
1.6401,64,189250
1.6453,64,187736
1.6509,64,187736
1.6558,63,184708
1.6608,63,186222
1.6672,63,186222
1.6720,63,186222
1.6769,63,186222
1.6818,63,186222
1.6869,63,186222
1.6920,62,183194
1.6970,62,183194
1.7023,64,189250
1.7081,64,189250
1.7128,64,189250
1.7182,64,189250
1.7229,64,189250
1.7289,64,189250
1.7333,64,189250
1.7375,64,189250
1.7422,64,189250
1.7472,64,187736
1.7519,63,184708
1.7564,63,184708
1.7607,63,184708
1.7653,63,184708
1.7709,63,184708
1.7757,63,184708
1.7800,63,184708
1.7841,64,187736
1.7883,64,187736
1.7923,64,187736
1.7964,64,187736
1.8011,63,186222
1.8053,64,189250
1.8096,64,189250
1.8139,64,189250
1.8178,64,189250
1.8218,64,189250
1.8257,64,189250
1.8298,64,189250
1.8337,64,189250
1.8380,64,189250
1.8426,64,189250
1.8475,64,189250
1.8524,64,189250
1.8568,64,189250
1.8621,64,187736
1.8665,64,187736
1.8711,64,186222
1.8763,64,184708
1.8806,64,184708
1.8851,64,183194
1.8894,63,180166
1.8944,63,178652
1.8986,63,178652
1.9050,0,0
1.9095,63,178652
