tag,idx,bw,rtt,q,cc,cc_verified,final_status,experiment_id,backlog_max,healthcheck,submit_rtt,compile,parse,generate,spinup_prepare,transfer,drain_upload,orchestration_overhead,wall,parse_in_tokens,parse_out_tokens,orch_id
00_5bw-85rtt-64q_cubic,0,5,85,64,cubic,cubic,complete,wget_5_5_85_pfifo_cubic_a8524c0b,64,0.136,0.073,2.98,1.799,1.181,13.993,59.997,74.036,91.219,151.216,9787,263,orch-4da19454
01_5bw-130rtt-64q_bbr,1,5,130,64,bbr,bbr,complete,wget_5_5_130_pfifo_bbr_6462725f,59,0.189,0.053,2.347,0.599,1.747,41.692,59.999,71.573,116.382,176.381,9789,160,orch-86f0132e
02_5bw-275rtt-128q_reno,2,5,275,128,reno,reno,complete,wget_5_5_275_pfifo_reno_fac6b6e6,128,0.174,0.039,2.952,1.775,1.177,43.994,60.0,72.294,119.436,179.436,9790,162,orch-0f13051a
03_10bw-85rtt-128q_htcp,3,10,85,128,htcp,htcp,complete,wget_10_10_85_pfifo_htcp_74f44d5c,128,0.175,0.051,2.327,1.166,1.161,44.03,59.994,70.818,117.33,177.324,9790,162,orch-af0559d8
04_10bw-130rtt-128q_vegas,4,10,130,128,vegas,vegas,complete,wget_10_10_130_pfifo_vegas_f1d59073,109,0.178,0.051,2.951,1.184,1.767,44.408,60.0,70.445,117.988,177.988,9790,163,orch-d7ef1608
05_10bw-275rtt-256q_bic,5,10,275,256,bic,bic,complete,wget_10_10_275_pfifo_bic_df8e06d4,256,0.184,0.055,2.355,1.181,1.174,45.047,60.0,68.792,116.962,176.962,9790,161,orch-b2b95cfd
06_15bw-85rtt-256q_cdg,6,15,85,256,cdg,cdg,complete,wget_15_15_85_pfifo_cdg_6bc4e2f6,29,0.189,0.038,2.96,1.775,1.184,46.585,60.0,61.022,110.749,170.749,9790,282,orch-5dd049a5
07_15bw-130rtt-256q_highspeed,7,15,130,256,highspeed,highspeed,complete,wget_15_15_130_pfifo_highspeed_46942276,256,0.179,0.039,2.952,1.217,1.735,54.357,59.999,69.093,126.555,186.554,9791,161,orch-eb395e27
08_15bw-275rtt-512q_hybla,8,15,275,512,hybla,hybla,complete,wget_15_15_275_pfifo_hybla_a07b2173,172,0.159,0.055,2.39,1.21,1.179,46.663,60.0,65.108,114.359,174.359,9791,161,orch-9f6061dd
09_5bw-275rtt-32q_illinois,9,5,275,32,illinois,illinois,complete,wget_5_5_275_pfifo_illinois_0f7fecae,32,0.193,0.051,1.749,0.588,1.162,50.806,60.0,71.82,125.155,185.155,9789,162,orch-2075fb71
