tag,cc,bw,rtt,q,parse_in_tokens,parse_out_tokens,parse_total_tokens
00_5bw-85rtt-64q_cubic,cubic,5,85,64,9787,263,10050
01_5bw-130rtt-64q_bbr,bbr,5,130,64,9789,160,9949
02_5bw-275rtt-128q_reno,reno,5,275,128,9790,162,9952
03_10bw-85rtt-128q_htcp,htcp,10,85,128,9790,162,9952
04_10bw-130rtt-128q_vegas,vegas,10,130,128,9790,163,9953
05_10bw-275rtt-256q_bic,bic,10,275,256,9790,161,9951
06_15bw-85rtt-256q_cdg,cdg,15,85,256,9790,282,10072
07_15bw-130rtt-256q_highspeed,highspeed,15,130,256,9791,161,9952
08_15bw-275rtt-512q_hybla,hybla,15,275,512,9791,161,9952
09_5bw-275rtt-32q_illinois,illinois,5,275,32,9789,162,9951
10_5bw-275rtt-128q_nv,nv,5,275,128,9789,162,9951
11_5bw-275rtt-512q_scalable,scalable,5,275,512,9789,168,9957
12_5bw-275rtt-1024q_veno,veno,5,275,1024,9791,162,9953
13_5bw-85rtt-64q_westwood,westwood,5,85,64,9788,159,9947
14_5bw-130rtt-64q_yeah,yeah,5,130,64,9788,343,10131
15_10bw-85rtt-128q_cubic,cubic,10,85,128,9789,263,10052
16_10bw-130rtt-128q_bbr,bbr,10,130,128,9791,163,9954
17_5bw-85rtt-64q_reno,reno,5,85,64,9788,244,10032
18_10bw-130rtt-128q_cubic,cubic,10,130,128,9790,161,9951
19_5bw-130rtt-64q_bbr,bbr,5,130,64,9789,160,9949
