cc,bw_mbps,rtt_ms,queue_pkts,exec_time_submit_to_data_s,intent_duration_s,status,experiment_id,orchestration_overhead_s
reno,15,139,64,146.78,60,complete,wget_15_15_139_pfifo_reno_dc721e3a,86.78
reno,5,85,64,166.93,60,complete,wget_5_5_85_pfifo_reno_ebb49367,106.93
cubic,5,85,64,182.18,60,complete,wget_5_5_85_pfifo_cubic_6b5a7a76,122.18
bbr,5,85,64,177.02,60,complete,wget_5_5_85_pfifo_bbr_9bc191b8,117.02
bic,5,85,64,182.03,60,complete,wget_5_5_85_pfifo_bic_02b579f8,122.03
cdg,5,85,64,171.87,60,complete,wget_5_5_85_pfifo_cdg_4ae52369,111.87
highspeed,5,85,64,187.11,60,complete,wget_5_5_85_pfifo_highspeed_644c8b5c,127.11
htcp,5,85,64,176.99,60,complete,wget_5_5_85_pfifo_htcp_5a06f74c,116.99
hybla,5,85,64,182.04,60,complete,wget_5_5_85_pfifo_hybla_18bd399e,122.04
illinois,5,85,64,176.88,60,complete,wget_5_5_85_pfifo_illinois_f9d23e41,116.88
nv,5,85,64,181.88,60,complete,wget_5_5_85_pfifo_nv_f9d38f64,121.88
scalable,5,85,64,176.9,60,complete,wget_5_5_85_pfifo_scalable_2804c977,116.9
vegas,5,85,64,182.08,60,complete,wget_5_5_85_pfifo_vegas_0f00a7bf,122.08
veno,5,85,64,177.03,60,complete,wget_5_5_85_pfifo_veno_2de45b59,117.03
westwood,5,85,64,182.09,60,complete,wget_5_5_85_pfifo_westwood_14a0f666,122.09
yeah,5,85,64,182.07,60,complete,wget_5_5_85_pfifo_yeah_691680ea,122.07
reno,5,130,64,176.86,60,complete,wget_5_5_130_pfifo_reno_cfac1df0,116.86
cubic,5,130,64,181.93,60,complete,wget_5_5_130_pfifo_cubic_84d64611,121.93
bbr,5,130,64,176.94,60,complete,wget_5_5_130_pfifo_bbr_ab5b84bb,116.94
bic,5,130,64,181.93,60,complete,wget_5_5_130_pfifo_bic_5737f9eb,121.93
cdg,5,130,64,166.92,60,complete,wget_5_5_130_pfifo_cdg_f4e9180f,106.92
highspeed,5,130,64,192.17,60,complete,wget_5_5_130_pfifo_highspeed_7310c24f,132.17
htcp,5,130,64,176.84,60,complete,wget_5_5_130_pfifo_htcp_e585b2d6,116.84
hybla,5,130,64,181.98,60,complete,wget_5_5_130_pfifo_hybla_9e1c0932,121.98
illinois,5,130,64,176.95,60,complete,wget_5_5_130_pfifo_illinois_9f1cd16c,116.95
nv,5,130,64,182.06,60,complete,wget_5_5_130_pfifo_nv_f483c7b0,122.06
scalable,5,130,64,177.06,60,complete,wget_5_5_130_pfifo_scalable_3d845743,117.06
vegas,5,130,64,182.13,60,complete,wget_5_5_130_pfifo_vegas_5b24aa4b,122.13
veno,5,130,64,177.01,60,complete,wget_5_5_130_pfifo_veno_113a83c8,117.01
westwood,5,130,64,177.01,60,complete,wget_5_5_130_pfifo_westwood_b7d1204d,117.01
yeah,5,130,64,182.17,60,complete,wget_5_5_130_pfifo_yeah_e30d52a3,122.17
reno,10,85,128,177.08,60,complete,wget_10_10_85_pfifo_reno_cb24c6fd,117.08
cubic,10,85,128,182.07,60,complete,wget_10_10_85_pfifo_cubic_bf52af9e,122.07
bbr,10,85,128,176.99,60,complete,wget_10_10_85_pfifo_bbr_f0185bf3,116.99
bic,10,85,128,182.12,60,complete,wget_10_10_85_pfifo_bic_7d5e3778,122.12
cdg,10,85,128,166.91,60,complete,wget_10_10_85_pfifo_cdg_8ec69560,106.91
highspeed,10,85,128,192.12,60,complete,wget_10_10_85_pfifo_highspeed_686aab74,132.12
htcp,10,85,128,176.86,60,complete,wget_10_10_85_pfifo_htcp_bd4ebb90,116.86
hybla,10,85,128,181.98,60,complete,wget_10_10_85_pfifo_hybla_776d6b85,121.98
