experiment_id,cc,bw_mbps,rtt_ms,queue_pkts,declared_duration_s,t_submit_epoch,t_finish_epoch,wall_s,status
,cubic,10,85,64,60,1783496971.997827553,1783496977.233296891,5.235469338,failed
,bbr,10,275,64,60,1783496977.417566431,1783496982.611874116,5.194307685,failed
wget_15_15_139_pfifo_reno_dc721e3a,reno,15,139,64,60,1783496982.784846992,1783497129.561778575,146.776931583,complete
wget_10_10_85_pfifo_cubic_581dce34,cubic,10,85,64,60,1783497271.851224214,1783497433.687964186,161.836739972,complete
wget_10_10_275_pfifo_bbr_48639d79,bbr,10,275,64,60,1783497434.197664558,1783497611.205433364,177.007768806,complete
wget_5_5_85_pfifo_reno_ebb49367,reno,5,85,64,60,1783498348.068257746,1783498514.999047594,166.930789848,complete
wget_5_5_85_pfifo_cubic_6b5a7a76,cubic,5,85,64,60,1783498515.406544187,1783498697.587880961,182.181336774,complete
wget_5_5_85_pfifo_bbr_9bc191b8,bbr,5,85,64,60,1783498697.990349271,1783498875.015146993,177.024797722,complete
wget_5_5_85_pfifo_bic_02b579f8,bic,5,85,64,60,1783498875.384990394,1783499057.410610974,182.025620580,complete
wget_5_5_85_pfifo_cdg_4ae52369,cdg,5,85,64,60,1783499057.756975260,1783499229.625791328,171.868816068,complete
wget_5_5_85_pfifo_highspeed_644c8b5c,highspeed,5,85,64,60,1783499230.049637176,1783499417.163193428,187.113556252,complete
wget_5_5_85_pfifo_htcp_5a06f74c,htcp,5,85,64,60,1783499417.558827419,1783499594.547321815,176.988494396,complete
wget_5_5_85_pfifo_hybla_18bd399e,hybla,5,85,64,60,1783499594.920987415,1783499776.961198235,182.040210820,complete
wget_5_5_85_pfifo_illinois_f9d23e41,illinois,5,85,64,60,1783499777.383596947,1783499954.263455904,176.879858957,complete
wget_5_5_85_pfifo_nv_f9d38f64,nv,5,85,64,60,1783499954.634470559,1783500136.510787757,181.876317198,complete
wget_5_5_85_pfifo_scalable_2804c977,scalable,5,85,64,60,1783500136.906448810,1783500313.810880324,176.904431514,complete
wget_5_5_85_pfifo_vegas_0f00a7bf,vegas,5,85,64,60,1783500314.218927273,1783500496.295013201,182.076085928,complete
wget_5_5_85_pfifo_veno_2de45b59,veno,5,85,64,60,1783500496.687015597,1783500673.712273334,177.025257737,complete
wget_5_5_85_pfifo_westwood_14a0f666,westwood,5,85,64,60,1783500674.113478676,1783500856.201467157,182.087988481,complete
wget_5_5_85_pfifo_yeah_691680ea,yeah,5,85,64,60,1783500856.611987141,1783501038.680021766,182.068034625,complete
wget_5_5_130_pfifo_reno_cfac1df0,reno,5,130,64,60,1783501039.063364634,1783501215.925929089,176.862564455,complete
wget_5_5_130_pfifo_cubic_84d64611,cubic,5,130,64,60,1783501216.316816373,1783501398.250253700,181.933437327,complete
wget_5_5_130_pfifo_bbr_ab5b84bb,bbr,5,130,64,60,1783501398.605875723,1783501575.549586518,176.943710795,complete
wget_5_5_130_pfifo_bic_5737f9eb,bic,5,130,64,60,1783501575.933878245,1783501757.859008546,181.925130301,complete
wget_5_5_130_pfifo_cdg_f4e9180f,cdg,5,130,64,60,1783501758.266546256,1783501925.187253147,166.920706891,complete
wget_5_5_130_pfifo_highspeed_7310c24f,highspeed,5,130,64,60,1783501925.575695664,1783502117.741445834,192.165750170,complete
wget_5_5_130_pfifo_htcp_e585b2d6,htcp,5,130,64,60,1783502118.111092778,1783502294.952760226,176.841667448,complete
wget_5_5_130_pfifo_hybla_9e1c0932,hybla,5,130,64,60,1783502295.286590346,1783502477.266326364,181.979736018,complete
wget_5_5_130_pfifo_illinois_9f1cd16c,illinois,5,130,64,60,1783502477.611242825,1783502654.557197653,176.945954828,complete
wget_5_5_130_pfifo_nv_f483c7b0,nv,5,130,64,60,1783502654.998078375,1783502837.058519406,182.060441031,complete
wget_5_5_130_pfifo_scalable_3d845743,scalable,5,130,64,60,1783502837.466516539,1783503014.522696685,177.056180146,complete
wget_5_5_130_pfifo_vegas_5b24aa4b,vegas,5,130,64,60,1783503014.911287585,1783503197.040225739,182.128938154,complete
wget_5_5_130_pfifo_veno_113a83c8,veno,5,130,64,60,1783503197.394349162,1783503374.408152992,177.013803830,complete
wget_5_5_130_pfifo_westwood_b7d1204d,westwood,5,130,64,60,1783503374.855220876,1783503551.866582226,177.011361350,complete
wget_5_5_130_pfifo_yeah_e30d52a3,yeah,5,130,64,60,1783503552.246628987,1783503734.416332414,182.169703427,complete
wget_5_5_275_pfifo_reno_e64f3c0f,reno,5,275,128,60,1783503734.791348086,1783503916.811866652,182.020518566,complete
wget_5_5_275_pfifo_cubic_aee44b6b,cubic,5,275,128,60,1783503917.198490891,1783504094.119954351,176.921463460,complete
wget_5_5_275_pfifo_bbr_1c66e2c7,bbr,5,275,128,60,1783504094.500051494,1783504271.511229646,177.011178152,complete
wget_5_5_275_pfifo_bic_2c706f11,bic,5,275,128,60,1783504271.915194910,1783504453.977152880,182.061957970,complete
wget_5_5_275_pfifo_cdg_ab871786,cdg,5,275,128,60,1783504454.351124564,1783504611.195553364,156.844428800,complete
wget_5_5_275_pfifo_highspeed_1d23ba57,highspeed,5,275,128,60,1783504611.525842816,1783504753.139644029,141.613801213,complete
wget_5_5_275_pfifo_htcp_ec7c69d7,htcp,5,275,128,60,1783504753.532204793,1783504935.600680301,182.068475508,complete
wget_5_5_275_pfifo_hybla_d20be883,hybla,5,275,128,60,1783504935.928396945,1783505112.809443238,176.881046293,complete
wget_5_5_275_pfifo_illinois_396f961a,illinois,5,275,128,60,1783505113.200837939,1783505295.370774077,182.169936138,complete
wget_5_5_275_pfifo_nv_983b23d5,nv,5,275,128,60,1783505295.721032817,1783505472.581338319,176.860305502,complete
wget_5_5_275_pfifo_scalable_bc74aec7,scalable,5,275,128,60,1783505472.923223455,1783505654.826111509,181.902888054,complete
wget_5_5_275_pfifo_vegas_5b53c870,vegas,5,275,128,60,1783505655.219890416,1783505837.101473488,181.881583072,complete
wget_5_5_275_pfifo_veno_c35cf34f,veno,5,275,128,60,1783505837.491108024,1783506014.477147999,176.986039975,complete
wget_5_5_275_pfifo_westwood_2d4ff481,westwood,5,275,128,60,1783506014.861851178,1783506186.789009041,171.927157863,complete
wget_5_5_275_pfifo_yeah_ac4fdf50,yeah,5,275,128,60,1783506187.200915122,1783506374.404282618,187.203367496,complete
wget_10_10_85_pfifo_reno_cb24c6fd,reno,10,85,128,60,1783506374.778797093,1783506551.855410178,177.076613085,complete
wget_10_10_85_pfifo_cubic_bf52af9e,cubic,10,85,128,60,1783506552.451462706,1783506734.523237573,182.071774867,complete
wget_10_10_85_pfifo_bbr_f0185bf3,bbr,10,85,128,60,1783506735.023961141,1783506912.009908001,176.985946860,complete
wget_10_10_85_pfifo_bic_7d5e3778,bic,10,85,128,60,1783506912.530766600,1783507094.652310933,182.121544333,complete
wget_10_10_85_pfifo_cdg_8ec69560,cdg,10,85,128,60,1783507095.235752144,1783507262.145371412,166.909619268,complete
wget_10_10_85_pfifo_highspeed_686aab74,highspeed,10,85,128,60,1783507262.666460268,1783507454.790475282,192.124015014,complete
wget_10_10_85_pfifo_htcp_bd4ebb90,htcp,10,85,128,60,1783507455.290812244,1783507632.148456384,176.857644140,complete
wget_10_10_85_pfifo_hybla_776d6b85,hybla,10,85,128,60,1783507632.722476623,1783507814.699511033,181.977034410,complete
wget_10_10_85_pfifo_illinois_99c28ac4,illinois,10,85,128,60,1783507815.246934190,1783507992.287308652,177.040374462,complete
wget_10_10_85_pfifo_nv_58e1fa01,nv,10,85,128,60,1783507992.803322313,1783508174.768806503,181.965484190,complete
wget_10_10_85_pfifo_scalable_ca5c7c79,scalable,10,85,128,60,1783508175.352053854,1783508352.307822341,176.955768487,complete
wget_10_10_85_pfifo_vegas_35778c55,vegas,10,85,128,60,1783508352.814506823,1783508534.857672195,182.043165372,complete
wget_10_10_85_pfifo_veno_f225326f,veno,10,85,128,60,1783508535.379378676,1783508712.436073315,177.056694639,complete
wget_10_10_85_pfifo_westwood_9a48c71f,westwood,10,85,128,60,1783508713.024568513,1783508890.047069503,177.022500990,complete
wget_10_10_85_pfifo_yeah_69728223,yeah,10,85,128,60,1783508890.655318996,1783509072.795169524,182.139850528,complete
wget_10_10_130_pfifo_reno_e921c88e,reno,10,130,128,60,1783509073.322344628,1783509250.309375080,176.987030452,complete
wget_10_10_130_pfifo_cubic_43f9bef8,cubic,10,130,128,60,1783509250.886310145,1783509432.935035961,182.048725816,complete
wget_10_10_130_pfifo_bbr_69093634,bbr,10,130,128,60,1783509433.460794752,1783509610.416301847,176.955507095,complete
wget_10_10_130_pfifo_bic_feaac8c9,bic,10,130,128,60,1783509610.984076550,1783509793.059392799,182.075316249,complete
wget_10_10_130_pfifo_cdg_8a66ecbf,cdg,10,130,128,60,1783509793.540047663,1783509960.475816608,166.935768945,complete
